RepRapFirmware height map file v2 generated at 2021-03-06 04:07, min error -0.186, max error 0.357, mean 0.066, deviation 0.085
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-168.70,171.30,-166.25,113.75,-1.00,20.00,20.00,18,15
 -0.051,  0.022,  0.073,  0.094,  0.104,  0.128,  0.149,  0.124,  0.112,  0.132,  0.145,  0.141,  0.157,  0.164,  0.155,  0.216,  0.234,  0.217
 -0.018, -0.024,  0.006,  0.023,  0.039,  0.065,  0.089,  0.079,  0.063,  0.076,  0.081,  0.074,  0.087,  0.133,  0.147,  0.165,  0.190,  0.199
 -0.098, -0.071, -0.051, -0.038, -0.029, -0.013,  0.006, -0.009, -0.034, -0.026, -0.013, -0.013,  0.007,  0.049,  0.058,  0.077,  0.107,  0.112
 -0.136, -0.135, -0.111, -0.094, -0.088, -0.070, -0.041, -0.056, -0.067, -0.059, -0.048, -0.042, -0.024, -0.003,  0.003,  0.043,  0.081,  0.094
 -0.076, -0.056, -0.031, -0.016, -0.013,  0.009,  0.034,  0.016,  0.004,  0.007,  0.016,  0.020,  0.037,  0.069,  0.071,  0.086,  0.121,  0.115
  0.019,  0.018,  0.041,  0.047,  0.048,  0.067,  0.080,  0.077,  0.056,  0.080,  0.097,  0.098,  0.118,  0.160,  0.169,  0.198,  0.241,  0.253
  0.045,  0.037,  0.049,  0.047,  0.048,  0.059,  0.084,  0.072,  0.054,  0.076,  0.091,  0.099,  0.133,  0.181,  0.204,  0.246,  0.324,  0.336
  0.046,  0.024,  0.024,  0.021,  0.012,  0.028,  0.039,  0.022,  0.009,  0.026,  0.035,  0.053,  0.090,  0.139,  0.174,  0.226,  0.318,  0.357
  0.024, -0.004, -0.001, -0.004, -0.008,  0.008,  0.029,  0.021,  0.011,  0.020,  0.038,  0.044,  0.076,  0.131,  0.153,  0.178,  0.204,  0.215
  0.034,  0.016,  0.025,  0.015,  0.026,  0.046,  0.061,  0.049,  0.037,  0.043,  0.059,  0.068,  0.094,  0.138,  0.158,  0.170,  0.178,  0.183
  0.032, -0.009,  0.001,  0.004,  0.011,  0.036,  0.058,  0.056,  0.045,  0.059,  0.074,  0.077,  0.107,  0.151,  0.160,  0.166,  0.178,  0.181
  0.053,  0.019,  0.012,  0.003,  0.003,  0.026,  0.039,  0.040,  0.024,  0.034,  0.043,  0.044,  0.077,  0.126,  0.134,  0.161,  0.188,  0.206
  0.102,  0.014, -0.011, -0.015, -0.024, -0.004,  0.009,  0.003, -0.011,  0.009,  0.029,  0.039,  0.071,  0.117,  0.132,  0.156,  0.188,  0.216
  0.142,  0.082,  0.051,  0.027, -0.006,  0.002,  0.010,  0.000, -0.013,  0.003,  0.021,  0.032,  0.066,  0.116,  0.140,  0.172,  0.222,  0.256
  0.184, -0.186,  0.017,  0.007, -0.013,  0.002,  0.017,  0.010, -0.003,  0.017,  0.043,  0.049,  0.086,  0.130,  0.092,  0.174,  0.213,  0.241
